Date,Close,Code,Name,Sector,Close,Close,Close,Close
,1301.T,,,,130A.T,1332.T,1333.T,135A.T
2025-10-17,4880.0,1301,極洋,水産・農林業,,,,
2025-10-20,4905.0,1301,極洋,水産・農林業,,,,
2025-10-21,4875.0,1301,極洋,水産・農林業,,,,
2025-10-22,4895.0,1301,極洋,水産・農林業,,,,
2025-10-23,4905.0,1301,極洋,水産・農林業,,,,
2025-10-24,4900.0,1301,極洋,水産・農林業,,,,
2025-10-27,5000.0,1301,極洋,水産・農林業,,,,
2025-10-28,4880.0,1301,極洋,水産・農林業,,,,
2025-10-29,4770.0,1301,極洋,水産・農林業,,,,
2025-10-30,4800.0,1301,極洋,水産・農林業,,,,
2025-10-31,4765.0,1301,極洋,水産・農林業,,,,
2025-11-04,4530.0,1301,極洋,水産・農林業,,,,
2025-11-05,4515.0,1301,極洋,水産・農林業,,,,
2025-11-06,4590.0,1301,極洋,水産・農林業,,,,
2025-11-07,4635.0,1301,極洋,水産・農林業,,,,
2025-11-10,4660.0,1301,極洋,水産・農林業,,,,
2025-11-11,4690.0,1301,極洋,水産・農林業,,,,
2025-11-12,4775.0,1301,極洋,水産・農林業,,,,
2025-11-13,4775.0,1301,極洋,水産・農林業,,,,
2025-11-14,4745.0,1301,極洋,水産・農林業,,,,
2025-11-17,4675.0,1301,極洋,水産・農林業,,,,
2025-11-18,4655.0,1301,極洋,水産・農林業,,,,
2025-11-19,4570.0,1301,極洋,水産・農林業,,,,
2025-11-20,4670.0,1301,極洋,水産・農林業,,,,
2025-11-21,4740.0,1301,極洋,水産・農林業,,,,
2025-11-25,4690.0,1301,極洋,水産・農林業,,,,
2025-11-26,4745.0,1301,極洋,水産・農林業,,,,
2025-11-27,4745.0,1301,極洋,水産・農林業,,,,
2025-11-28,4800.0,1301,極洋,水産・農林業,,,,
2025-12-01,4725.0,1301,極洋,水産・農林業,,,,
2025-12-02,4660.0,1301,極洋,水産・農林業,,,,
2025-12-03,4615.0,1301,極洋,水産・農林業,,,,
2025-12-04,4615.0,1301,極洋,水産・農林業,,,,
2025-12-05,4590.0,1301,極洋,水産・農林業,,,,
2025-12-08,4670.0,1301,極洋,水産・農林業,,,,
2025-12-09,4605.0,1301,極洋,水産・農林業,,,,
2025-12-10,4630.0,1301,極洋,水産・農林業,,,,
2025-12-11,4535.0,1301,極洋,水産・農林業,,,,
2025-12-12,4605.0,1301,極洋,水産・農林業,,,,
2025-12-15,4655.0,1301,極洋,水産・農林業,,,,
2025-12-16,4665.0,1301,極洋,水産・農林業,,,,
2025-12-17,4675.0,1301,極洋,水産・農林業,,,,
2025-12-18,4740.0,1301,極洋,水産・農林業,,,,
2025-12-19,4740.0,1301,極洋,水産・農林業,,,,
2025-12-22,4745.0,1301,極洋,水産・農林業,,,,
2025-12-23,4850.0,1301,極洋,水産・農林業,,,,
2025-12-24,4865.0,1301,極洋,水産・農林業,,,,
2025-12-25,4850.0,1301,極洋,水産・農林業,,,,
2025-12-26,4880.0,1301,極洋,水産・農林業,,,,
2025-12-29,4900.0,1301,極洋,水産・農林業,,,,
2025-12-30,4875.0,1301,極洋,水産・農林業,,,,
2026-01-05,4870.0,1301,極洋,水産・農林業,,,,
2026-01-06,4945.0,1301,極洋,水産・農林業,,,,
2026-01-07,4940.0,1301,極洋,水産・農林業,,,,
2026-01-08,4920.0,1301,極洋,水産・農林業,,,,
2026-01-09,4950.0,1301,極洋,水産・農林業,,,,
2026-01-13,4890.0,1301,極洋,水産・農林業,,,,
2026-01-14,4930.0,1301,極洋,水産・農林業,,,,
2026-01-15,4935.0,1301,極洋,水産・農林業,,,,
2026-01-16,4960.0,1301,極洋,水産・農林業,,,,
2025-10-17,,130A,Ｖｅｒｉｔａｓ　Ｉｎ　Ｓｉｌｉｃｏ,医薬品,573.0,,,
2025-10-20,,130A,Ｖｅｒｉｔａｓ　Ｉｎ　Ｓｉｌｉｃｏ,医薬品,587.0,,,
2025-10-21,,130A,Ｖｅｒｉｔａｓ　Ｉｎ　Ｓｉｌｉｃｏ,医薬品,586.0,,,
2025-10-22,,130A,Ｖｅｒｉｔａｓ　Ｉｎ　Ｓｉｌｉｃｏ,医薬品,592.0,,,
