銘柄コード,銘柄名,市場区分,セクター,有効
1888,若築建設,プライム,建設業,1
1890,東洋建設,プライム,建設業,1
1893,五洋建設,プライム,建設業,1
1897,金下建設,スタンダード,建設業,1
1898,世紀東急工業,プライム,建設業,1
1899,福田組,プライム,建設業,1
189A,Ｄ＆Ｍカンパニー,グロース,サービス業,1
1904,大成温調,スタンダード,建設業,1
1905,テノックス,スタンダード,建設業,1
1909,日本ドライケミカル,スタンダード,機械,1
190A,Ｃｈｏｒｄｉａ　Ｔｈｅｒａｐｅｕｔｉｃｓ,グロース,医薬品,1
1911,住友林業,プライム,建設業,1
1914,日本基礎技術,スタンダード,建設業,1
1921,巴コーポレーション,スタンダード,建設業,1
1925,大和ハウス工業,プライム,建設業,1
1926,ライト工業,プライム,建設業,1
1928,積水ハウス,プライム,建設業,1
1929,日特建設,プライム,建設業,1
192A,インテグループ,グロース,サービス業,1
1930,北陸電気工事,プライム,建設業,1
1934,ユアテック,プライム,建設業,1
1938,日本リーテック,プライム,建設業,1
1939,四電工,プライム,建設業,1
1941,中電工,プライム,建設業,1
1942,関電工,プライム,建設業,1
1944,きんでん,プライム,建設業,1
1945,東京エネシス,プライム,建設業,1
1946,トーエネック,プライム,建設業,1
1948,弘電社,スタンダード,建設業,1
1949,住友電設,プライム,建設業,1
194A,ＷＯＬＶＥＳ　ＨＡＮＤ,グロース,サービス業,1
1950,日本電設工業,プライム,建設業,1
1951,エクシオグループ,プライム,建設業,1
1952,新日本空調,プライム,建設業,1
1959,クラフティア,プライム,建設業,1
195A,ＭＵＳＣＡＴ　ＧＲＯＵＰ,グロース,サービス業,1
1960,サンテック,スタンダード,建設業,1
1961,三機工業,プライム,建設業,1
1963,日揮ホールディングス,プライム,建設業,1
1964,中外炉工業,プライム,建設業,1
1965,テクノ菱和,スタンダード,建設業,1
1966,高田工業所,スタンダード,建設業,1
1967,ヤマト,スタンダード,建設業,1
1968,太平電業,プライム,建設業,1
1969,高砂熱学工業,プライム,建設業,1
196A,ＭＦＳ,グロース,その他金融業,1
1972,三晃金属工業,スタンダード,建設業,1
1975,朝日工業社,プライム,建設業,1
1976,明星工業,プライム,建設業,1
1979,大氣社,プライム,建設業,1
197A,タウンズ,スタンダード,医薬品,1
1980,ダイダン,プライム,建設業,1
1981,協和日成,スタンダード,建設業,1
1982,日比谷総合設備,プライム,建設業,1
198A,ＰｏｓｔＰｒｉｍｅ,グロース,情報・通信業,1
1992,神田通信機,スタンダード,建設業,1
1994,高橋カーテンウォール工業,スタンダード,建設業,1
1997,暁飯島工業,スタンダード,建設業,1
2001,ニップン,プライム,食料品,1
2002,日清製粉グループ本社,プライム,食料品,1
2003,日東富士製粉,スタンダード,食料品,1
2004,昭和産業,プライム,食料品,1
2009,鳥越製粉,スタンダード,食料品,1
202A,豆蔵,グロース,情報・通信業,1
2053,中部飼料,プライム,食料品,1
2055,日和産業,スタンダード,食料品,1
205A,ロゴスホールディングス,グロース,建設業,1
2060,フィード・ワン,プライム,食料品,1
206A,ＰＲＩＳＭ　ＢｉｏＬａｂ,グロース,医薬品,1
208A,構造計画研究所ホールディングス,スタンダード,情報・通信業,1
2108,日本甜菜製糖,プライム,食料品,1
2109,ＤＭ三井製糖,プライム,食料品,1
2112,塩水港精糖,スタンダード,食料品,1
2114,フジ日本,スタンダード,食料品,1
2117,ウェルネオシュガー,プライム,食料品,1
211A,カドス・コーポレーション,スタンダード,建設業,1
2120,ＬＩＦＵＬＬ,プライム,サービス業,1
2121,ＭＩＸＩ,プライム,情報・通信業,1
2122,インタースペース,スタンダード,サービス業,1
2124,ジェイエイシーリクルートメント,プライム,サービス業,1
2127,日本Ｍ＆Ａセンターホールディングス,プライム,サービス業,1
212A,フィットイージー,プライム,サービス業,1
2130,メンバーズ,プライム,サービス業,1
2134,北浜キャピタルパートナーズ,スタンダード,サービス業,1
2136,ヒップ,スタンダード,サービス業,1
2138,クルーズ,スタンダード,情報・通信業,1
2139,中広,スタンダード,サービス業,1
2146,ＵＴグループ,プライム,サービス業,1
2148,アイティメディア,プライム,サービス業,1
2150,ケアネット,プライム,サービス業,1
2152,幼児活動研究会,スタンダード,サービス業,1
2153,Ｅ・Ｊホールディングス,プライム,サービス業,1
2154,オープンアップグループ,プライム,サービス業,1
2156,セーラー広告,スタンダード,サービス業,1
2157,コシダカホールディングス,プライム,サービス業,1
2158,ＦＲＯＮＴＥＯ,グロース,サービス業,1
215A,タイミー,グロース,サービス業,1
2160,ジーエヌアイグループ,グロース,医薬品,1
2162,ｎｍｓ　ホールディングス,スタンダード,サービス業,1
2163,アルトナー,プライム,サービス業,1
2164,地域新聞社,グロース,サービス業,1
2168,パソナグループ,プライム,サービス業,1
2169,ＣＤＳ,スタンダード,サービス業,1
2170,リンクアンドモチベーション,プライム,サービス業,1
2173,博展,グロース,サービス業,1
2175,エス・エム・エス,プライム,サービス業,1
2179,成学社,スタンダード,サービス業,1
2180,サニーサイドアップグループ,スタンダード,サービス業,1
2181,パーソルホールディングス,プライム,サービス業,1
2183,リニカル,スタンダード,サービス業,1
2185,シイエム・シイ,スタンダード,サービス業,1
2186,ソーバル,スタンダード,サービス業,1
218A,Ｌｉｂｅｒａｗａｒｅ,グロース,精密機器,1
2193,クックパッド,スタンダード,サービス業,1
2195,アミタホールディングス,グロース,サービス業,1
2196,エスクリ,スタンダード,サービス業,1
2198,アイ・ケイ・ケイホールディングス,プライム,サービス業,1
219A,Ｈｅａｒｔｓｅｅｄ,グロース,医薬品,1
2201,森永製菓,プライム,食料品,1
2204,中村屋,スタンダード,食料品,1
2206,江崎グリコ,プライム,食料品,1
2207,ｍｅｉｔｏ,プライム,食料品,1
2208,ブルボン,スタンダード,食料品,1
2209,井村屋グループ,プライム,食料品,1
220A,Ｆａｂｅｒ　Ｃｏｍｐａｎｙ,スタンダード,情報・通信業,1
2211,不二家,プライム,食料品,1
2212,山崎製パン,プライム,食料品,1
2215,第一屋製パン,スタンダード,食料品,1
2216,カンロ,スタンダード,食料品,1
2217,モロゾフ,プライム,食料品,1
2220,亀田製菓,プライム,食料品,1
2221,岩塚製菓,スタンダード,食料品,1
2222,寿スピリッツ,プライム,食料品,1
2224,コモ,スタンダード,食料品,1
2226,湖池屋,スタンダード,食料品,1
2229,カルビー,プライム,食料品,1
2264,森永乳業,プライム,食料品,1
2266,六甲バター,プライム,食料品,1
2267,ヤクルト本社,プライム,食料品,1
2268,Ｂ－Ｒ　サーティワン　アイスクリーム,スタンダード,食料品,1
2269,明治ホールディングス,プライム,食料品,1
2270,雪印メグミルク,プライム,食料品,1
2281,プリマハム,プライム,食料品,1
2282,日本ハム,プライム,食料品,1
2286,林兼産業,スタンダード,食料品,1
2288,丸大食品,プライム,食料品,1
228A,オプロ,グロース,情報・通信業,1
2291,福留ハム,スタンダード,食料品,1
2292,Ｓ　Ｆｏｏｄｓ,プライム,食料品,1
2293,滝沢ハム,スタンダード,食料品,1
2294,柿安本店,プライム,食料品,1
2296,伊藤ハム米久ホールディングス,プライム,食料品,1
2300,きょくとう,スタンダード,サービス業,1
2301,学情,プライム,サービス業,1
2303,ドーン,スタンダード,情報・通信業,1
2304,ＣＳＳホールディングス,スタンダード,サービス業,1
2305,スタジオアリス,スタンダード,サービス業,1
2307,クロスキャット,プライム,情報・通信業,1
2311,エプコ,スタンダード,サービス業,1
2315,ＣＡＩＣＡ　ＤＩＧＩＴＡＬ,スタンダード,情報・通信業,1
2317,システナ,プライム,情報・通信業,1
2321,ソフトフロントホールディングス,グロース,情報・通信業,1
2323,ｆｏｎｆｕｎ,スタンダード,情報・通信業,1
2325,ＮＪＳ,プライム,サービス業,1
2326,デジタルアーツ,プライム,情報・通信業,1
2327,日鉄ソリューションズ,プライム,情報・通信業,1
2329,東北新社,スタンダード,情報・通信業,1
2330,フォーサイド,スタンダード,情報・通信業,1
2331,ＡＬＳＯＫ,プライム,サービス業,1
2332,クエスト,スタンダード,情報・通信業,1
2334,イオレ,グロース,サービス業,1
2335,キューブシステム,プライム,情報・通信業,1
2337,いちご,プライム,不動産業,1
2338,クオンタムソリューションズ,スタンダード,情報・通信業,1
2340,極楽湯ホールディングス,スタンダード,サービス業,1
2341,アルバイトタイムス,スタンダード,サービス業,1
2342,トランスジェニックグループ,グロース,サービス業,1
2344,平安レイサービス,スタンダード,サービス業,1
2345,クシム,スタンダード,情報・通信業,1
2349,エヌアイデイ,スタンダード,情報・通信業,1
2351,ＡＳＪ,グロース,情報・通信業,1
2353,日本駐車場開発,プライム,不動産業,1
2354,ＹＥ　ＤＩＧＩＴＡＬ,スタンダード,情報・通信業,1
2359,コア,プライム,情報・通信業,1
2370,メディネット,グロース,サービス業,1
2371,カカクコム,プライム,サービス業,1
2373,ケア２１,スタンダード,サービス業,1
2374,セントケア・ホールディング,プライム,サービス業,1
2375,ギグワークス,スタンダード,サービス業,1
2376,サイネックス,スタンダード,サービス業,1
2378,ルネサンス,プライム,サービス業,1
2379,ディップ,プライム,サービス業,1
2384,ＳＢＳホールディングス,プライム,陸運業,1
2385,総医研ホールディングス,グロース,サービス業,1
2388,ウェッジホールディングス,グロース,その他金融業,1
2389,デジタルホールディングス,プライム,サービス業,1
2391,プラネット,スタンダード,サービス業,1
2393,日本ケアサプライ,スタンダード,サービス業,1
2395,新日本科学,プライム,サービス業,1
2404,鉄人化ホールディングス,スタンダード,サービス業,1
2408,ＫＧ情報,スタンダード,サービス業,1
2410,キャリアデザインセンター,プライム,サービス業,1
2411,ゲンダイエージェンシー,スタンダード,情報・通信業,1
2413,エムスリー,プライム,サービス業,1
2415,ヒューマンホールディングス,スタンダード,サービス業,1
